N,seed,candidate_index,angles_sha256_float64,OT_cost,R_N,lambda_R,weighted_R_N,J_N,objective_grid_points,objective_time_steps,sinkhorn_n_iter,sinkhorn_err_l1,rank_J,rank_R,rank_OT,selected_J,selected_R,selected_OT
24,0,0,4eee846928e7c7b8a74070c67b0fe25d9b7acfbfae8e375c549e19e9b1d63f9b,0.01165175364887647,0.6083373881213554,0.001,0.0006083373881213554,0.012260091036997826,579,721,30,8.76595240839606e-09,57.0,58.0,30.0,False,False,False
24,0,1,61652d7eabba9369ff9397e523450320b7c4b008ad5de5a6ca9bf25ea3b5b292,0.011645141509636046,0.5377945613875598,0.001,0.0005377945613875598,0.012182936071023606,579,721,31,4.8789399187398885e-09,17.0,24.0,11.0,False,False,False
24,0,2,31a5f85abc1383a328ebd8a6d6ce8356652714646137f912579150c203a2c2a3,0.011649008886137067,0.5138414561360257,0.001,0.0005138414561360258,0.012162850342273093,579,721,30,9.679068324608409e-09,8.0,6.0,22.0,False,False,False
24,0,3,de531a77d139765f8f1cd8eec16c1d9c2added6864a8c63eb771d4e8eb66322e,0.011659516315815986,0.5577595152184451,0.001,0.0005577595152184452,0.012217275831034432,579,721,30,9.123444777436873e-09,41.0,39.0,57.0,False,False,False
24,0,4,8d8ebf3f1fdf48c2b68d6e858b02fea307d6185f506a80d9f693ec83bc8fa047,0.01164757403880001,0.5407366807582364,0.001,0.0005407366807582365,0.012188310719558245,579,721,30,9.534136702349372e-09,22.0,28.0,19.0,False,False,False
24,0,5,a1757088135287e9be95e6400a121f0265ed899c97faaedb625eba1ec4dbeed9,0.01165095264734504,0.5101706457808936,0.001,0.0005101706457808936,0.012161123293125933,579,721,30,9.263877776000129e-09,6.0,3.0,28.0,False,False,False
24,0,6,89b3f0601a1da7bccab3a4f9f57c8ff0167b8e8ce96b0587f114cb3bbd0c2de1,0.011649839791730215,0.5221959094035548,0.001,0.0005221959094035548,0.01217203570113377,579,721,30,9.802550771098595e-09,12.0,12.0,26.0,False,False,False
24,0,7,879ce11fcf8ad24ca938441aacf0bbb6f89d92f5573c988cc6fba4b607b94d78,0.01165507534187193,0.5480350175984141,0.001,0.0005480350175984141,0.012203110359470344,579,721,31,4.8488744130992245e-09,35.0,32.0,46.0,False,False,False
24,0,8,032dc8f38905d51ee6e52741c1d99bd776083fa9e376ac3af3c76e826cfba33b,0.01166270812347911,0.5301835833212545,0.001,0.0005301835833212545,0.012192891706800364,579,721,31,5.059830221476602e-09,25.0,16.0,60.0,False,False,False
24,0,9,1f95b42fae409a7fbc1d9c83699aabc2b39904131d38182e1f372454097a6e32,0.011638808718539626,0.5141847156076392,0.001,0.0005141847156076392,0.012152993434147266,579,721,30,9.24306708949274e-09,3.0,7.0,1.0,False,False,True
24,0,10,aeb9c6bff791d72ed6e28e8afad63201e79dff2503a206831fc07bd4aa3eb722,0.011645772867883951,0.6028194539582523,0.001,0.0006028194539582524,0.012248592321842203,579,721,31,5.359168109286827e-09,55.0,56.0,13.0,False,False,False
24,0,11,9534ba43a9d4ea5f25dcff8e7ef3789598ba5a1374b5e0585c1ef9886018a9c5,0.01165344563527976,0.5456418858199472,0.001,0.0005456418858199473,0.012199087521099706,579,721,31,4.897940164561021e-09,32.0,30.0,36.0,False,False,False
24,0,12,17cfe3d9f90fda21aac68224fd802d7720a5cdb577a744211871f35150e72726,0.011656098750667797,0.6541269245711366,0.001,0.0006541269245711367,0.012310225675238934,579,721,31,4.9956226932934555e-09,60.0,60.0,50.0,False,False,False
24,0,13,201de504048dd8cdfdda46bd72ce4c9a3b57f9a84782e7553b0e19ceb5745245,0.01165414480632799,0.6062722629557884,0.001,0.0006062722629557884,0.01226041706928378,579,721,31,5.033778838203773e-09,58.0,57.0,39.0,False,False,False
24,0,14,9677514485d9782d765cfa4a5c4adeedc47cadaff0d6886ffb1a9b8f0a4b984e,0.011659024521533425,0.5678800357878809,0.001,0.0005678800357878809,0.012226904557321306,579,721,30,8.624670422285874e-09,47.0,42.0,56.0,False,False,False
24,0,15,39a675571d4d96e347a14b8f226a2bcde41c0d963815674ee29bc0fc095690c5,0.011652938180812216,0.6376211841263856,0.001,0.0006376211841263856,0.012290559364938601,579,721,30,9.173549364582811e-09,59.0,59.0,32.0,False,False,False
24,0,16,3aef52f4fb2a3c7d3c18540cc69b413a1fec0348164dc9882ca44aa0efcc9ae5,0.011654558718544072,0.5714433036041401,0.001,0.0005714433036041401,0.012226002022148212,579,721,31,5.284589321696842e-09,46.0,44.0,45.0,False,False,False
24,0,17,211b857dd43b0ae824bf1e0b7b1395fbef0e0f06ee392b39cbcafb3c103b0328,0.011641985524269757,0.5758721058245047,0.001,0.0005758721058245047,0.012217857630094262,579,721,31,4.907390160902025e-09,42.0,47.0,5.0,False,False,False
24,0,18,046d9b1bc4e21f34d0be2ea577918e5c9b74a6cce4068646a84ab734cb5ae442,0.01165618172833489,0.5824301620274098,0.001,0.0005824301620274098,0.012238611890362301,579,721,30,9.400320410968277e-09,52.0,52.0,51.0,False,False,False
24,0,19,a8aa56656b5c2075878668ae7cd11e13c8efd12417e0d48e26a8fa03de7af8d7,0.011641962418390559,0.5343606168288038,0.001,0.0005343606168288037,0.012176323035219363,579,721,31,5.47799672290239e-09,15.0,20.0,4.0,False,False,False
24,0,20,5e7af0be3fcf643a1a8043eebb7cd393b96e09d1c94ccb9973a21db42029a2ef,0.011657185725529495,0.5562839370846488,0.001,0.0005562839370846489,0.012213469662614143,579,721,31,5.02853125805558e-09,40.0,38.0,54.0,False,False,False
