N,method,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,mean_coverage_fraction_median,OT_cost_median,Riesz_median,Total_obj_median
24,walker_like,1,36.0,36.0,36.0,77.0,77.0,77.0,0.3758063379807064,0.0116401117866075,0.4582449537239927,0.0120983567403315
24,ot_riesz,3,40.0,39.0,48.0,49.0,48.0,53.0,0.3307634356345301,0.0116487930313305,0.49178411296282,0.0121405771442933
24,riesz_only,3,44.0,40.0,48.0,49.0,48.0,59.0,0.327891617516427,0.0116509261532445,0.49178411296282,0.0121405771442933
24,ot_only,3,59.0,42.66221902853926,65.0,82.0,78.0,90.0,0.3353007346742721,0.0116397961220044,0.5343606168288038,0.0116397961220044
30,walker_like,1,15.0,15.0,15.0,68.0,68.0,68.0,0.429887101827731,0.0116340678422276,0.4632213322966921,0.0120972891745243
30,ot_riesz,3,37.0,36.0,43.0,56.0,56.0,58.0,0.413050633779114,0.0116417346668763,0.4996979349389946,0.0121466275621355
30,ot_only,3,43.0,37.0,49.0,58.0,56.0,99.0,0.405510886161389,0.0116417346668763,0.5173289147870527,0.0116417346668763
30,riesz_only,3,43.0,36.0,49.0,58.0,56.0,58.0,0.413050633779114,0.0116469296271965,0.4996979349389946,0.0121466275621355
36,walker_like,1,12.0,12.0,12.0,12.0,12.0,12.0,0.5633840117387345,0.0116401590715968,0.4664700475843419,0.0121066291191812
36,ot_riesz,3,33.0,28.0,34.0,39.0,37.0,56.0,0.4759935133681928,0.0116547401136288,0.5104763995950449,0.012165271532867
36,riesz_only,3,33.0,28.0,34.0,39.0,37.0,56.0,0.4759935133681928,0.0116547401136288,0.5104763995950449,0.012165271532867
36,ot_only,3,35.0,29.0,42.0,55.0,44.0,78.0,0.4678909177838151,0.0116448093870409,0.5560010010421693,0.0116448093870409
