N,method,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,mean_coverage_fraction_median,OT_cost_median,Riesz_median,Total_obj_median
24,ot_only,3,44.0,42.0,61.0,67.0,55.0,68.0,0.3330248094764543,0.011637161013616556,0.5148175711588997,0.011637161013616556
24,ot_riesz,3,41.0,40.0,45.0,62.0,55.0,68.0,0.3329835198474109,0.011649368678194745,0.4923024491207177,0.012141671127315463
24,riesz_only,3,45.0,40.0,54.0,62.0,58.0,62.0,0.3272992693536334,0.011652993277677774,0.49178411296282,0.012144777390640593
24,walker_like,1,39.0,39.0,39.0,86.0,86.0,86.0,0.3757612860589916,0.011637890413294983,0.45824495372399277,0.012096135367018975
30,ot_only,3,46.0,42.0,58.0,50.0,47.0,59.0,0.40520680604268855,0.011639564626810471,0.5173289147870527,0.011639564626810471
30,ot_riesz,3,46.0,42.0,46.0,50.0,47.0,61.0,0.41373909339901094,0.01164195475027141,0.4996979349389946,0.012142752553472812
30,riesz_only,3,46.0,46.0,51.0,53.0,47.0,61.0,0.41373909339901094,0.011643054618533818,0.4996979349389946,0.012142752553472812
30,walker_like,1,17.0,17.0,17.0,56.0,56.0,56.0,0.4299004167504471,0.011634342042305163,0.4632213322966921,0.012097563374601855
36,ot_only,3,45.0,35.0,46.0,58.0,54.0,59.0,0.4767978376750027,0.011641398387727703,0.5560010010421693,0.011641398387727703
36,ot_riesz,3,34.0,31.0,45.0,40.0,36.0,54.0,0.4767978376750027,0.01165216849446331,0.5104763995950449,0.012162644894058355
36,riesz_only,3,34.0,31.0,45.0,40.0,36.0,54.0,0.4767978376750027,0.01165216849446331,0.5104763995950449,0.012162644894058355
36,walker_like,1,13.0,13.0,13.0,13.0,13.0,13.0,0.5634418090157007,0.011640367151271242,0.46647004758434196,0.012106837198855585
