N,fov_half_angle_deg,slew_deg,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,uncovered_median
8,30.0,30.0,5,135.0,90.0,177.0,178.0,136.0,235.0,0.0
12,30.0,30.0,5,88.0,73.0,111.0,89.0,89.0,164.0,0.0
16,30.0,30.0,5,60.0,57.0,70.0,85.0,69.0,138.0,0.0
24,20.0,30.0,5,90.0,69.0,98.0,110.0,78.0,157.0,0.0
24,25.0,30.0,5,57.0,53.0,76.0,90.0,69.0,97.0,0.0
24,30.0,0.0,5,213.0,194.0,235.0,346.0,298.0,371.0,0.0
24,30.0,15.0,5,107.0,101.0,128.0,150.0,116.0,172.0,0.0
24,30.0,30.0,5,48.0,39.0,57.0,53.0,48.0,65.0,0.0
30,25.0,30.0,5,60.0,54.0,70.0,82.0,63.0,95.0,0.0
30,30.0,30.0,5,41.0,36.0,49.0,56.0,50.0,61.0,0.0
36,20.0,30.0,5,61.0,60.0,77.0,73.0,66.0,91.0,0.0
36,25.0,30.0,5,51.0,40.0,52.0,58.0,47.0,60.0,0.0
36,30.0,15.0,5,85.0,71.0,91.0,106.0,92.0,150.0,0.0
36,30.0,30.0,5,33.0,28.0,34.0,39.0,35.0,56.0,0.0
