N,fov_half_angle_deg,slew_deg,seed_count,P95_median,P95_min,P95_max,Max_median,Max_min,Max_max,uncovered_median
8,30.0,30.0,5,125.0,98.0,198.0,175.0,146.0,237.0,0.0
12,30.0,30.0,5,97.0,55.0,142.0,145.0,84.0,171.0,0.0
16,30.0,30.0,5,68.0,62.0,75.0,88.0,83.0,98.0,0.0
24,20.0,30.0,5,97.0,87.0,110.0,134.0,99.0,143.0,0.0
24,25.0,30.0,5,79.0,57.0,91.0,97.0,93.0,105.0,0.0
24,30.0,0.0,5,210.0,197.0,251.0,311.0,253.0,388.0,0.0
24,30.0,15.0,5,129.0,89.0,144.0,134.0,124.0,171.0,0.0
24,30.0,30.0,5,45.0,40.0,60.0,64.0,55.0,71.0,0.0
30,25.0,30.0,5,64.0,57.0,78.0,91.0,70.0,107.0,0.0
30,30.0,30.0,5,46.0,42.0,49.0,53.0,47.0,89.0,0.0
36,20.0,30.0,5,70.0,52.0,93.0,83.0,73.0,106.0,0.0
36,25.0,30.0,5,46.0,42.0,61.0,65.0,63.0,97.0,0.0
36,30.0,15.0,5,89.0,81.0,107.0,127.0,95.0,132.0,0.0
36,30.0,30.0,5,34.0,31.0,45.0,40.0,36.0,54.0,0.0
